FECHA,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,TOTAL,DEMANDA MAXIMA
25/01/2018,969.59,910.13,876.79,865.7,870.39,907.75,932.487,1037.146,1149.701,1200.298,1224.988,1217.448,1183.233,1231.315,1275.768,1264.943,1238.263,1195.52,1257.78,1417.39,1394.59,1296.53,1163.02,1043.71,27118.674,1417.39
26/01/2018,951.68,892.22,864.26,850.07,852.74,886.8,933.28,1042.18,1176.285,1229.629,1267.361,1232.592,1160.824,1209.856,1230.078,1233.461,1213.968,1163.57,1224.56,1390.89,1367.51,1279,1165.77,1030.41,26853.681,1395.52
27/01/2018,935.11,876.22,832.94,815.65,802.44,811.4,812.504,907.79,1003.364,1083.455,1105.907,1097.314,1050.76,1051.695,1058.462,1043.626,1019.447,996.766,1093.25,1275.43,1251.26,1175.47,1062.93,944.72,24113.068,1277.34
28/01/2018,851.75,803.27,772.72,752.93,744.41,735.53,685.35,732.138,785.051,827.341,850.327,858.162,846.338,851.632,868.197,883.408,883.214,888.64,1004.68,1186.66,1184.49,1115.92,1009.37,878.61,21064.185,1192.94
29/01/2018,799.912,760.1,734.75,719.52,724.16,766.95,833.942,948.899,1058.58042,1092.4484,1116.83132,1105.93893,1057.18106,1097.52232,1142.6013,1155.03252,1128.366,1100.366,1180.26,1340.119,1321.227,1225.18,1082.85,970.28692,24451.001,1341.509
30/01/2018,875.43,831.81,806.77,796.93,800.41,839.35,886.967,993.799,1108.728,1151.739,1183.436,1185.107,1131.539,1200.864,1244.919,1243.166,1214.345,1165.16,1192.54,1391.34,1366.79,1287.47,1146.01,1013.91,26036.9731,1392.6
31/01/2018,908.53,861.07,833.76,825.13,821.58,861.3,906.125,1006.317,1115.527,1137.984,1155.157,1144.911,1080.543,1134.766,1183.833,1194.44,1174.928,1141.482,1204.47,1365.93,1345.21,1255.34,1123.62,989.06,25774.297,1367.51
01/02/2018,880.895,834.123,806.013,797.831,799.194,858.253,892.578,1003.178,1090.04,1120.697,1138.698,1107.615,1038.652,1060.624,1088.886,1080.717,1069.772,1037.136,1128.261,1289.783,1268.996,1180.573,1080.833,924.843,24593.954,1291.023
02/02/2018,833.8,807.51,791.71,783.45,780.57,819.25,859.986,978.359,1087.932,1139.935,1163.65,1154.786,1097.879,1131.358,1166.325,1156.112,1129.598,1098.323,1201.27,1333.38,1313.66,1227.1,1100.02,974.72,25085.869,1336.99
03/02/2018,879.49616,831.10323,805.21914,790.44397,797.12114,816.96883,801.46475,900.926,1004.68452,1056.73516,1084.9069,1068.35692,1031.67217,1030.61509,1049.40709,1043.74799,1044.18114,1035.228,1153.055,1312.239,1283.394,1223.274,1123.44654,1007.00332,24128.04,1313.139
04/02/2018,909.93,854.03,807.44,790.13,778.4,750.62,726.334,786.282,850.514,906.901,941.844,944.654,948.42,956.736,979.302,987.764,989.523,991.098,1086.04,1317.25,1324.48,1268.52,1140.87,996.77,23086.483,1331.35
05/02/2018,887.27,825.5,796.06,780.57,786.9,817.35,963.677,979.456,1093.729,1150.328,1202.581,1213.626,1171.203,1213.064,1259.771,1263.629,1243.827,1198.255,1258.72,1427.98,1429.87,1348.5,1196.53,1054.45,26522.02775,1431.97
06/02/2018,940.57721,885.06589,860.52599,846.07,845.22995,861.00851,956.41293,1034.11526,1160.3522,1201.10826,1245.35242,1233.70374,1195.34711,1262.73133,1325.49597,1327.7171,1287.63841,1249.70726,1339.65975,1466.78528,1440.84887,1361.77,1212.67268,1075.88734,27583.924,1467.99528
07/02/2018,968.17,910.98,871.77,859.563,862.385,880.28,970.817,1030.71,1145.607,1198.376,1242.724,1245.732,1204.771,1273.347,1332.209,1326.716,1290.208,1247.469,1334.09,1469.131,1441.932,1367.491,1217.42,1076.83,27719.143,1470.621
08/02/2018,967.91191,909.05703,868.91,855.919,855.409,886.39809,983.78532,1045.85798,1170.89412,1199.922,1226.545,1226.172,1179.549,1233.654,1292.981,1292.622,1261.872,1210.76221,1303.50014,1423.836,1404.61,1307.773,1174.04,1054.48279,27301.106,1425.166
09/02/2018,949.49,886.55,845.23,826.96,825.13,866.52,934.877,1007.615,1109.442,1165.414,1198.378,1198.762,1174.04,1233.313,1258.58,1251.928,1210.053,1161.734,1235.33,1404.06,1380.69,1296.36,1171.88,1049.91,26610.837,1405.05
10/02/2018,944.83,888.36,853.38,832.17,835.93,852.73,812.528,900.599,1006.657,1053.282,1072.752,1066.715,1041.969,1029.673,1027.23,1017.897,1003.18,996.76,1091.01,1280.35,1259.65,1199.16,1080.65,968.3,24135.087,1281.63
11/02/2018,889.33,830.06,795.13,778.71,770.18,767.37,703.189,733.848,777.731,815.74,837.981,844.95,842.291,839.525,837.014,835.646,830.832,845.328,966.51,1138.73,1129.98,1072.4,987.83,884.33,20771.897,1141.98
12/02/2018,805.89,766.33,741.97,722.72,722.19,731.72,677.781,730.217,775.841,815.644,863.678,881.132,858.548,843.709,829.565,828.893,820.765,828.303,969.6,1132.41,1122.5,1057.73,954.64,844.66,20349.8491,1140.89
13/02/2018,763.6,721.9,695.38,686.69,683.46,696.48,637.37,683.468,732.736,766.998,788.578,794.702,783.642,777.006,772.69,780.472,791.54,808.704,968.36,1149.32,1145.91,1076.4,950.99,841.88,19474.979,1154.42
14/02/2018,753.88,714.55,687.93,673.69,681.22,718.95,822.16,862.93,975.006,1026.398,1066.772,1074.832,1054.576,1084,1133.216,1145.932,1143.944,1116.402,1190.74,1339.03,1322.66,1238.36,1116.12,978.34,23847.679,1340.14
15/02/2018,875.21,817.26,796.85,777.89,785.04,820.46,910.198,966.106,1101.918,1145.69,1180.89,1182.43,1146.558,1203.938,1254.906,1244.514,1206.766,1169.578,1287.95,1420.8,1400.74,1310.73,1160.41,1020.04,26122.294,1421.98
16/02/2018,913.26,867.75,836.12,818.72,815.8,859.7,959.426,1016.9,1121.932,1172.894,1197.122,1190.652,1104.76,1139.618,1192.93,1195.406,1172.958,1153.826,1264.13,1354.74,1331.84,1225.94,1097.76,981.2,26012.2,1360.3
17/02/2018,884.47,841.19,812.13,802.44,799.27,830.3,809.17,907.994,1001.878,1063.306,1065.404,1052.404,1019.332,1047.734,1054.606,1047.882,1029.388,1011.41,1130.52,1317.74,1294.38,1222.84,1102.31,978.69,24090.781,1319.68
18/02/2018,878.62,821.3,791.43,771.22,761.83,771.08,714.672,780.816,846.552,882.444,903.288,908.094,904.206,914.196,934.642,938.794,943.35,952.332,1064.35,1256.51,1266.33,1197.61,1063.91,919.36,22195.191,1271.06
19/02/2018,841.85,786.88,764.56,756.84,761.65,836.64,961.61,965.698,1064.486,1102.756,1133,1132.516,1086.056,1119.482,1163.526,1165.44,1149.44,1118.108,1180.55,1379.78,1364.46,1273.34,1132.38,996.35,25163.243,1381.04
20/02/2018,889.77,838.75,819.17,805.97,807.67,867.12,943.302,973.754,1040.714,1066.006,1107.048,1096.438,1057.116,1105.162,1168.144,1176.166,1171.104,1124.918,1203.51,1377.25,1354.64,1249.51,1094.18,969.72,25287.789,1378.4
21/02/2018,876.94,818.56,797.72,781.7,784.55,821.96,839.676,889.128,950.248,974.456,1008.378,1017.602,989.564,1022.68,1053.83,1038.502,1019.4,1015.476,1163.33,1317.3,1297.36,1205.71,1062.5,925.11,23587.4,1319.58
22/02/2018,840.41,791.87,769.38,765,775.87,840.92,944.528,992.612,1082.348,1129.244,1149.444,1154.926,1103.186,1150.402,1204.006,1197.106,1178.99,1138.9,1237.86,1389.59,1371.33,1275.67,1126.99,978.25,25518.589,1391.6
23/02/2018,887.53,832.79,816.45,807.99,804.82,868.6,967.71,1027.402,1122.798,1160.102,1179.764,1172.66,1136.678,1198.744,1248.16,1256.578,1232.24,1171.19,1283.4,1411.42,1392.4,1289.81,1149.07,1030.27,26375.472,1412.53
24/02/2018,921.63,866.102,834.14,815.844,819.09699,845.48,832.378,934.172,1054.72,1084.19224,1105.59347,1100.5687,1075.73722,1089.88031,1094.3298,1092.17524,1067.84285,1061.1829,1219.08527,1362.08261,1340.96863,1264.92387,1150.99242,1015.059,24959.1178,1364.390015
25/02/2018,916.05,861.62,822.6,802.59,788.44,783.09,723.982,788.062,853.448,900.516,925.31,928.482,917.085,934.037,963.809,977.693,986.388,988.708,1154.36,1316.65,1313.01,1249.04,1116.85,976.58,22966.714,1319.02
26/02/2018,893.02,839.38,807.56,787.12,794.7,865.32,992.75,1016.352,1120.932,1164.134,1203.782,1225.692,1194.184,1242.23,1281.31,1279.628,1267.482,1226.636,1342.09,1455.24,1428.14,1326.61,1191.45,1048.18,26943.897,1456.39
27/02/2018,947.09,892.42,863.09,845,852.43,914.98,994.612,1046.824,1154.5,1195.182,1216.976,1219.124,1185.19,1252.49,1306.386,1292.394,1248.114,1190.008,1341.72,1447.77,1422.06,1325.96,1169.33,1016.49,27277.034,1453.11
28/02/2018,914.98,865.24,830.96,825.99,835.21,902.68,1004.2,1038.458,1141.372,1168.216,1189.892,1185.982,1155.406,1227.706,1265.016,1260.576,1227.186,1188.654,1324.5,1422.5,1393.52,1298.98,1151.36,1005.78,26824.208,1425.15
01/03/2018,900.86,843.77,830.14,822.15,823.64,896.27,986.752,1021.056,1105.906,1124.9,1142.99,1129.682,1073.018,1104.404,1153.65,1148.392,1143.556,1123.874,1272.02,1378.27,1353.81,1248.98,1105.1,966.07,25669.915,1379.19
02/03/2018,876.72,829.27,806.75,797.2,808.13,872.63,971.526,1008.548,1093.878,1139.96,1175.742,1178.648,1139.392,1201.42,1258.61,1263.148,1248.64,1209.844,1334.64,1438.38,1406.44,1320.21,1188.27,1055.87,26519.276,1441.51
03/03/2018,941.63,902.5,862.51,849.49,847.89,878.36,849.02,949.892,1070.564,1141.712,1160.49,1156.23,1117.67,1121.416,1115.232,1118.124,1094.822,1079.438,1251.55,1377.57,1350.11,1266.35,1144.82,1024.49,25639.826,1378.9
04/03/2018,930.28,865.99,836.59,805.21,801.54,795.48,744.13,809.5,882.288,919.972,948.66,958.002,952.956,966.256,992.396,1008.808,1010.304,1009.634,1203.4,1320.55,1321.54,1232.09,1121.65,983.01,23421.275,1325.15
